type,zcr_diff_mean,zcr_exceed_th,zcr_third_central_moment,zcr_std_of_fod
M,-64,40,0.0011701483494914917,0.04688916794651928
M,-84,32,0.0010080031425976415,0.045249290639521655
M,-48,47,0.0006109110340277082,0.04738712840663994
M,-58,39,0.0010283682678458757,0.04834720672777915
M,-50,44,0.0006567963294689688,0.049282945317317715
M,-68,34,0.0013384572904894313,0.04309748802759302
M,-50,41,0.0009637225907835675,0.04123198865986257
M,-48,43,0.0008653993756113883,0.04564803904929833
M,-22,34,2.8554638470475848e-05,0.01609938479108667
M,-48,45,0.0006450548952633667,0.04702019449225303
M,-74,38,0.0012153868788686466,0.04638138180326353
M,-44,48,0.0008591312598058415,0.038716493930888676
M,-56,42,0.0008645904005494672,0.04776274103421256
M,-50,42,0.0006093475791226849,0.043532871886252066
M,-62,43,0.0008924431700343238,0.050319326915020564
M,-52,47,0.0006925505532387569,0.04252408557637714
M,-36,48,0.0005972519505215714,0.04665868244860091
M,-40,44,0.00074946252287017,0.039911425204645724
M,-62,40,0.0006530487287846888,0.039557461540330456
M,-56,42,0.00014516331834067307,0.017620570387815452
M,-78,31,0.0014091892008811185,0.05105287667916847
M,-44,46,0.0009261306101534925,0.046341555604085795
M,-52,44,0.0011417420415276956,0.050131644644832746
M,-38,40,0.0004945829054961682,0.038299755906866476
M,-26,47,0.00011571183081527551,0.03759030642197436
M,-22,50,8.126277134826501e-05,0.036017648544783246
M,-20,52,4.667894082910955e-05,0.035493060892911044
M,-28,43,8.356927383013138e-05,0.031805042414548595
M,-22,46,6.661975738700167e-05,0.035048885431935434
M,-38,49,0.000148759291871347,0.033305947027430116
M,-8,33,3.830323217118698e-06,0.012192977063126042
M,-40,39,0.00013470060384211907,0.037112390770747516
M,-32,45,3.1961996337374625e-05,0.027139333542706635
M,-34,50,0.0004266026263303889,0.05046086867677262
M,-68,39,0.001758668927506014,0.05330698023625586
M,-58,40,0.0017035393184881076,0.04694458596958602
M,-54,44,0.0011458024650197235,0.04812920246097679
M,-52,47,0.0005181795190865509,0.04305487646464303
M,-54,39,0.0010815260414359167,0.057157203037710325
M,-64,35,0.001171612956048987,0.05225355389249034
M,-66,41,0.001031062529082406,0.04500553568950242
M,-94,28,0.00012592717247289931,0.009263743216405978
M,-42,48,0.0004175963707659761,0.043448345348574634
M,-60,37,0.0016228913380268283,0.05900385436493249
M,-64,38,0.0009430953046079063,0.05465671922070056
M,-48,38,0.0014591400921937568,0.05108149038781429
M,-46,46,0.0008642405120175803,0.04680474783855569
M,-48,48,0.00046410440145137026,0.042286470376401555
M,-60,41,0.0020340535244845873,0.06138896364591564
M,-48,43,0.0011246116709990029,0.056658171849635855
M,-50,40,0.0006274211182182474,0.05162397725464253
M,-56,42,0.0006892498706182089,0.047402878677196524
M,-56,35,7.189817223648353e-05,0.016803549798279496
M,-66,38,0.0010680453223656488,0.05429516205034663
M,-72,36,0.001116246617078763,0.05733210637323269
M,-54,39,0.0008489786378689957,0.048454149382574516
M,-46,41,0.0005830256711638154,0.04244624298164505
M,-46,47,0.000753988138511993,0.04656220757824481
M,-66,38,0.0018393622571389423,0.06316458970436659
M,-56,41,0.0014064520027621656,0.05628447308168822
M,-50,42,0.000677004002075924,0.045505833987656404
M,-62,37,0.00039154729633038076,0.039938541279530546
M,-22,45,2.3245898926053388e-06,0.018644986927626426
M,-34,36,5.522372333770877e-05,0.015856142931007344
M,-40,40,5.660935091533186e-05,0.019957329000377305
M,0,45,2.860446518562855e-06,0.014155920490687054
M,-26,37,7.523259852675658e-06,0.015775538122424226
M,-26,35,1.3625886232883794e-05,0.01869819876453105
M,-16,45,7.897878771511846e-06,0.018654707931042923
M,-14,36,1.1876974498142511e-05,0.019446322518247076
M,-20,59,6.163252350809741e-06,0.016341611921329723
M,-16,44,2.2623327651598873e-05,0.02321820246742084
M,-4,42,7.989241809310049e-06,0.022763519317175955
M,-24,41,2.4721324880781412e-05,0.024875715720629323
M,-14,4,3.22672011660148e-06,0.03046427166788113
M,-22,67,9.059274853008881e-05,0.02550468689898917
M,-22,25,4.0287135989447954e-06,0.019405937922680694
M,-18,34,1.1610204189921975e-05,0.02526856946599038
M,-42,35,5.475054827031081e-05,0.030654546707815082
M,-12,35,3.101438608222383e-05,0.03199966919560347
M,-36,29,0.0001455140329869299,0.035230557615783885
M,-36,38,5.765649011539904e-05,0.029809250846917042
M,-26,29,7.991738215363087e-05,0.032357371485794796
M,-28,40,7.656621238697414e-05,0.034360213758619265
M,-40,33,0.0001850088989570572,0.03387561250034513
M,-20,39,2.534771336187065e-05,0.032077700004052245
M,-16,43,1.4233932248011744e-05,0.03265684053132584
M,-10,28,2.0202526732304435e-06,0.017859938466301857
M,-12,36,1.70532649108511e-05,0.028303635166836122
M,-34,36,3.465408703315464e-05,0.031148064538106524
M,-20,36,2.2205244838569742e-05,0.03156732806347246
M,0,43,4.547230588977115e-06,0.02450479690482065
M,0,36,8.338914750651154e-06,0.02754080071693217
M,-32,34,5.420138140343567e-05,0.03190799977868086
M,-12,34,2.8334424724562923e-05,0.028987707503955705
M,-38,51,0.000152405326360238,0.0281844149377718
M,2,1,2.6711589111740226e-07,0.02655032605956201
M,8,5,3.202521508595479e-07,0.0325644940686654
M,-6,34,1.4025601303772538e-06,0.018592871971072168
M,-42,21,7.1896639129332985e-06,0.019559919308253418
M,-12,29,9.498738524938449e-07,0.019586617898490637
M,-30,24,1.2281424761366538e-05,0.023235757963165373
M,-42,21,1.7003282847991725e-05,0.022818747651861555
M,-40,20,6.723067643901842e-05,0.028277068644002545
M,-40,28,5.501439302703724e-05,0.026122640532565956
M,-30,31,4.684821605455133e-05,0.03150667187299335
M,-8,38,-7.1406107158666255e-06,0.019891434429298506
M,-12,35,0.00014371572245509715,0.03433506289045765
M,-32,34,0.00015126974277757343,0.03495986459204619
M,-28,36,5.475132334262283e-05,0.03563868779956646
M,-34,31,0.00031919796602810437,0.03295302040551067
M,-18,38,8.536685269565925e-05,0.030372619241489037
M,2,32,1.3819193635361105e-05,0.03112220482426271
M,-46,29,0.00024264665993330799,0.034860826907657926
M,-6,37,2.4864469651249478e-05,0.029327436104031452
M,-54,33,0.0011801831555603324,0.044674422166900915
M,-62,28,0.0012597486927370428,0.049450578770353054
M,20,31,-2.0568989169272826e-06,0.02175683024529135
M,-64,28,0.00210588682289589,0.04996339078083188
M,-58,29,0.0012609058317575473,0.03534391320384095
M,-70,25,0.0016015521360039468,0.04406673830761153
M,-52,33,0.0015496670704817322,0.04857899053314045
M,-58,32,0.0013927211712527392,0.0535414747884442
M,-52,26,0.001874693832224713,0.0434837148464744
M,-40,32,0.000528270862598398,0.03983910308331534
M,-72,29,0.0019561534820840697,0.04814726902374717
M,-64,22,0.0021652892370312166,0.05254167450556698
M,-80,29,0.002569495945306262,0.058661602228786004
M,-10,29,2.6540355830987987e-06,0.02058150334987898
M,-56,33,0.0018472324071425945,0.04313691523307197
M,-62,30,0.001348219947775553,0.048239397793373454
M,-50,35,0.0013850136149637915,0.05148080794169011
M,-50,27,0.0012076794111688873,0.04871749553625953
M,-62,27,0.0012846493718093874,0.0422788704925708
M,-52,31,0.000864505879291411,0.04385880460833153
M,-62,26,0.0018598090002118505,0.04817218544945703
M,-74,28,0.0020450522820035172,0.057681866426828175
M,-66,28,0.0021163719559902125,0.05320521724165569
M,-54,34,0.0016752701489297524,0.05522268830680281
M,6,27,8.724765066265886e-07,0.019323346388005574
M,-74,32,0.0017082557817197457,0.0513854774146403
M,-68,32,0.002011594033736968,0.05259567255808685
M,-56,35,0.0017173802867517212,0.05263933683434887
M,-66,28,0.002329742806573519,0.04555521561411502
M,-70,22,0.0017620025130871408,0.04335888941395399
M,-54,38,0.0014529720339409734,0.046239716179149896
M,-60,33,0.0003602144919121241,0.05633851471421564
M,-64,35,0.00029151332091842435,0.03840899301911486
M,-72,30,0.0008394644930853668,0.06533747406180802
M,-76,30,0.00045028532669168215,0.05521112110811526
M,-14,35,-2.3425397057395513e-07,0.03103362389107115
M,-48,34,0.00045361659969420657,0.05189794080882709
M,-46,36,0.00014940050113702549,0.0462546434734392
M,-46,36,0.00026689723581710916,0.04460008753235871
M,-76,28,0.0005143371739796535,0.058370767024279145
M,-56,37,0.000792476842605968,0.045275945002625745
M,-62,31,0.0011661861497606332,0.05212344185114857
M,-42,43,0.0007484607516915375,0.04385770273435989
M,-76,31,0.002177109253727987,0.058253430431464324
M,-50,30,0.000894393944737465,0.04982471156675224
M,-32,29,0.0008077679541992905,0.05297048850358502
M,-46,35,8.60444023626186e-06,0.023312985342326637
M,-32,41,0.0005913843271829441,0.05315791901909429
M,-76,31,0.0014193972593999765,0.042249181034328745
M,-68,29,0.0011286056783124158,0.05317790416154014
M,-68,33,0.0013685759876155186,0.054338515641993435
M,-58,39,0.0012293433478461379,0.05856249320395395
M,-44,30,0.0009360219952211568,0.04264619372305234
M,-76,30,0.0019204427889371188,0.055334556458503124
M,-70,29,0.0008644309259056065,0.051863855704943077
M,-62,36,0.0005872824886607773,0.05501911271383679
M,-60,34,0.00047477615744440414,0.043983618386216346
M,-16,27,5.1634740719332425e-06,0.024471811744451975
M,-64,29,0.0017200240505319253,0.05817728498472322
M,-46,37,0.00041145325070162883,0.051014242251402296
M,-60,35,0.00048588268857052984,0.04644321418206352
M,-60,36,0.00038913185783594206,0.04718355945480868
M,-38,35,0.0003232205841719506,0.03893815314413869
M,-62,30,0.0007417202654935928,0.051509987036431094
M,-62,30,0.0003250730166052573,0.06050095794695317
M,-20,38,0.0001957771196070633,0.05017963805389146
M,-38,39,0.00017301464237232486,0.048140192777974336
M,-62,33,0.0006662389065124846,0.060678716459801385
M,2,29,-9.622968695843551e-08,0.019062463366222294
M,-72,29,0.0004975677770098908,0.06179693905936971
M,-46,30,0.00012948769002695868,0.034935145887530855
M,-18,32,1.887797545336166e-06,0.02065672345027706
M,-12,32,1.1788637556128572e-05,0.022436370203103784
M,-30,34,1.5573128190783033e-05,0.02493382132438738
M,-34,31,2.960689924110231e-05,0.02441453643360566
M,-18,31,4.3321316588269205e-05,0.028628641308427717
M,-40,24,7.726619870512525e-06,0.021922612622239507
M,-40,28,4.326187958341434e-05,0.028940233990414472
M,-40,32,2.9618955003740944e-05,0.02476790179733895
M,-14,49,7.595740653700486e-05,0.05536521424378853
M,2,35,8.72699922246791e-06,0.05080496922631299
M,-2,13,4.126143869736735e-06,0.039599207386248544
M,4,29,1.4540248083628218e-05,0.036814357151
M,6,29,5.183152408632523e-06,0.04059039425683749
M,-2,33,3.518335202984639e-05,0.04777823207450722
M,-8,35,1.1294869913127456e-05,0.04132857488102327
M,-20,38,1.4271744944068923e-05,0.04335563222681283
M,-10,31,2.1142302967936853e-05,0.04404200213916587
M,-24,45,2.3965902559837447e-05,0.030957025678134024
M,10,45,5.458667747127143e-06,0.031792747820065366
M,-18,30,1.7809203464450212e-05,0.032603574696519526
M,-16,35,6.535439736352597e-05,0.043875204712997835
M,0,17,2.437794173120723e-06,0.03766622871024969
M,-12,42,1.0321636686814895e-05,0.047165616932565206
M,28,39,-0.0002334657735799437,0.045294950096227575
M,14,39,-4.915116280927102e-05,0.05823371542372023
M,0,14,-6.958515934804455e-07,0.033470908246489475
M,-2,38,-3.3354619191319776e-06,0.04462597375430065
M,16,14,-3.2980380195829395e-05,0.041392778511835655
M,-18,29,2.358956072414032e-05,0.042125920904469205
M,-14,37,5.5278399277402834e-06,0.03680084304612964
M,-2,30,-1.0399073383004012e-08,0.04020344251841814
M,-6,36,9.489746475821623e-06,0.03492921643744992
M,-10,28,4.350143527974572e-06,0.037579149856830855
M,-16,24,4.515097196734058e-05,0.044031292822986165
M,-18,27,1.689386757154049e-05,0.03659913763867604
M,8,30,5.433883061496501e-07,0.03793124938137184
M,4,39,4.973793665119527e-06,0.04089980785043915
M,-6,36,-7.701689698852583e-06,0.03367546738552477
M,-6,24,5.458798777615551e-06,0.03650170697140148
M,-4,39,1.1728012540092927e-05,0.04391741494939504
M,-18,24,5.233049938159712e-06,0.03494389885989862
M,-14,29,3.778652932896376e-06,0.037411559027027204
M,2,31,-2.6450055673893582e-06,0.040552085130687324
M,-12,37,5.99182041131314e-06,0.0377140595452504
M,-6,34,-1.1460464264221353e-05,0.03599874523022558
M,-18,41,1.5487196708692445e-05,0.038627406167291004
M,-12,30,2.137140533210433e-05,0.04449126089676521
M,-18,26,1.008819240606998e-05,0.039281931382385955
M,-8,26,-3.38905656972558e-06,0.03859534117723168
M,-2,28,6.737302933573579e-06,0.03876855016761566
M,-12,30,1.0951437770720553e-05,0.037630275591362866
M,-4,29,2.507261538826271e-05,0.04038919487943448
M,-4,29,3.991875905362447e-06,0.03825768715994191
M,-6,25,1.56220778324203e-05,0.03874524384424954
M,-10,28,3.7536493176074124e-06,0.041923289673956796
M,2,27,-1.0648052128743192e-05,0.0425034768433321
M,-4,26,-7.419506313371469e-06,0.03333154518444308
M,12,25,1.6467286006759764e-06,0.03526288224870201
M,-4,28,1.3113303968887747e-06,0.037788326934440314
M,-16,29,3.644658364402261e-06,0.031725974140214594
M,2,33,6.138540653247015e-06,0.03929368954855019
M,2,31,3.2706389133850346e-06,0.034526377939374686
M,-6,28,1.5574016474931994e-05,0.04078923867965839
M,-20,35,6.424255465406329e-05,0.05308517024217026
M,0,35,8.349767720508609e-05,0.04949541196109422
M,-12,25,7.612541448606261e-05,0.05330444987714446
M,0,24,2.5559926794038157e-06,0.03827361981466097
M,-4,34,7.563711189398723e-05,0.03862500029967139
M,-2,29,4.775108108270142e-06,0.04342111754779727
M,8,29,-9.462870517590372e-06,0.04534569829489677
M,-4,26,4.356684687850325e-05,0.04758381999867187
M,6,29,-4.245867164708041e-05,0.04892359695094933
M,-4,36,3.1920182880523394e-05,0.049293536024287446
M,-4,34,5.630824527925915e-05,0.04412140112193417
M,-14,34,4.054917909020254e-05,0.04096087251826957
M,4,37,-8.412261112856797e-06,0.04337842345196551
M,6,27,8.833105563723087e-06,0.03900202400828539
M,-6,15,-1.4920403116444428e-05,0.037806589718229026
M,-8,30,2.9425245989769516e-05,0.04505000861054846
