type,zcr_diff_mean,zcr_exceed_th,zcr_third_central_moment,zcr_std_of_fod
M,-50,37,7.668511061433414e-05,0.040673055644592254
M,-18,40,3.0452343544098973e-05,0.0333499474619643
M,-44,47,0.00016291723769264527,0.048630252807889456
M,-32,35,6.672897339601316e-05,0.038456432263444876
M,-48,35,0.00011334116501201227,0.046152710584491136
M,-64,33,0.00019404503700055442,0.044607608598082396
M,-12,50,6.085974396531675e-05,0.03714144049657897
M,-16,42,5.2616437294715384e-05,0.03560608784602568
M,-14,39,0.00010896472904317007,0.0410486671452742
M,-36,42,7.51601915949451e-05,0.036869763659688366
M,-30,47,9.094356199747606e-05,0.04451857245226185
M,0,43,4.482110620648703e-06,0.03879149070196206
M,-24,36,4.558095335710364e-05,0.04067724434980887
M,-12,47,3.7231699384559214e-05,0.04237852195991183
M,16,55,-2.8948420496020028e-05,0.03888518042376319
M,-8,43,3.8239009805135474e-05,0.04389500738665788
M,-28,43,0.00015924462483053292,0.04684327115041998
M,-20,41,3.525683664732544e-05,0.043776632328620085
M,-8,48,5.531301413164845e-05,0.04485936619466225
M,-56,27,0.001304081357528414,0.05276724698321949
M,-40,40,0.0005467703137657156,0.04233675651368868
M,-26,48,0.0010260867335641153,0.06842316438023978
M,-22,39,0.0007275067106877069,0.045437460574078416
M,-40,47,0.0017475990583952978,0.05395084251868086
M,-36,40,0.00016475388669842314,0.0426854929214689
M,-14,59,0.00036643089804822975,0.04721346758538113
M,-38,48,8.206802509827662e-05,0.03716248710032657
M,-14,61,0.00011636070788505124,0.031180607967243305
M,74,0,-7.431641375854252e-06,0.015201968182026734
M,20,10,-3.002116303184691e-05,0.02768752327566386
M,22,71,-0.00022534625955340697,0.045020799576067666
M,72,0,-0.00036409195209370214,0.026720031722790295
M,26,55,-0.0001344860480046175,0.04287417203331325
M,54,74,-0.00012707547884818453,0.030014263355645762
M,-20,56,0.00030396348507196174,0.032250823825407546
M,0,30,2.7886409327940087e-05,0.03312848352796516
M,-28,52,0.0003431053308669545,0.05342128905338519
M,-18,48,0.00031769038422031087,0.05183266082195682
M,-44,46,0.0007898428821469731,0.055100104981853255
M,-2,46,1.2834571610102404e-05,0.034696822667496845
M,-30,44,0.0018121041414245244,0.061889639924172735
M,-14,42,0.0003725284799869586,0.05218882854221036
M,-42,46,0.0017831071059860033,0.06115507254288664
M,16,64,-4.353880570197417e-07,0.00960088356546376
M,4,35,-9.884790487114624e-08,0.009060024283041177
M,-32,31,2.506054532412168e-06,0.016401236006040064
M,-30,20,1.1633882423150675e-06,0.00897718472951874
M,50,28,-3.170207195425515e-06,0.011086009461392482
M,-30,38,1.6902523242808035e-06,0.011335767269418704
M,-8,40,-4.901852503012131e-07,0.01030991816792703
M,34,49,-4.2657942092051624e-07,0.009033281141151896
M,10,35,-2.991434043618011e-07,0.010172712914627315
M,-8,17,3.2377203095548666e-08,0.010158623597841289
M,-28,23,4.278300442938871e-07,0.012754164406341594
M,-38,29,9.234801297473803e-07,0.01023076704943284
M,-32,52,0.0003274194522310597,0.04248636583678563
M,-2,60,0.00010159316798302411,0.04648309226070961
M,-24,52,0.00012026779227412382,0.03779080232542669
M,-30,51,0.00018512276780195883,0.03704591942930611
M,-18,55,0.00011254618851016932,0.04376801050020061
M,16,48,-6.222238439986525e-05,0.05990722430721502
